feature,importance
MolLogP,757
BalabanJ,631
MolWt,623
FractionCSP3,589
BertzCT,572
TPSA,558
NumRotatableBonds,175
NumHAcceptors,123
morgan_495,75
maccs_149,65
morgan_1088,58
morgan_1452,57
maccs_95,56
morgan_1057,55
maccs_97,55
morgan_875,52
maccs_112,50
maccs_104,50
maccs_91,49
morgan_1535,47
morgan_843,47
morgan_1855,47
morgan_191,46
maccs_87,46
NumHDonors,46
morgan_80,44
morgan_1160,44
morgan_544,42
morgan_1591,41
maccs_159,41
maccs_157,40
morgan_1817,40
morgan_1670,39
maccs_52,38
maccs_93,38
maccs_131,38
morgan_773,37
maccs_79,36
morgan_1780,36
morgan_271,35
morgan_112,35
maccs_132,34
morgan_1145,33
morgan_250,32
maccs_144,32
morgan_1121,32
morgan_1199,32
morgan_1661,31
maccs_94,31
morgan_1546,31
morgan_870,31
morgan_1831,31
morgan_1480,31
morgan_1524,30
morgan_1586,30
morgan_194,30
maccs_106,30
morgan_491,29
morgan_1722,29
morgan_555,29
morgan_202,29
morgan_499,28
morgan_896,28
morgan_1137,28
morgan_1920,28
morgan_1512,27
maccs_101,27
morgan_1147,27
morgan_1766,27
maccs_107,27
morgan_791,27
morgan_530,27
morgan_1759,27
morgan_741,27
maccs_150,27
morgan_1171,27
morgan_2021,26
morgan_172,26
maccs_109,26
morgan_1410,26
morgan_1589,26
morgan_377,26
morgan_1903,26
morgan_1191,26
morgan_807,26
morgan_268,26
morgan_695,26
maccs_74,26
morgan_358,25
morgan_1996,25
morgan_1325,25
morgan_1444,25
maccs_124,25
maccs_69,25
morgan_335,25
morgan_1098,25
NumAromaticRings,24
morgan_1866,24
morgan_649,24
maccs_110,24
maccs_19,24
morgan_324,23
morgan_1511,23
morgan_751,23
maccs_158,23
morgan_1188,23
maccs_133,23
morgan_1844,23
maccs_85,23
morgan_883,23
morgan_699,23
morgan_1683,23
morgan_244,23
morgan_239,23
morgan_1739,23
maccs_62,23
morgan_611,22
morgan_614,22
morgan_1154,22
maccs_82,22
morgan_541,22
morgan_446,22
morgan_366,22
morgan_678,22
morgan_419,22
morgan_1456,22
maccs_152,22
maccs_138,22
maccs_129,22
maccs_130,22
morgan_1261,22
morgan_1603,22
morgan_1399,22
morgan_806,21
maccs_92,21
morgan_275,21
maccs_115,21
morgan_1114,21
maccs_146,21
morgan_1105,21
morgan_1039,21
maccs_135,21
morgan_1832,21
morgan_1750,21
morgan_307,21
maccs_134,21
morgan_1089,21
morgan_1357,21
morgan_1868,21
morgan_1487,21
morgan_2023,21
morgan_323,20
morgan_1367,20
morgan_1926,20
morgan_739,20
morgan_29,20
maccs_86,20
morgan_1816,20
morgan_125,20
maccs_127,20
maccs_141,20
morgan_1928,20
morgan_1446,20
maccs_108,20
morgan_119,20
maccs_49,20
morgan_248,20
morgan_1768,20
morgan_486,20
morgan_183,19
morgan_1696,19
morgan_1012,19
maccs_75,19
morgan_680,19
morgan_1617,19
morgan_1840,19
morgan_1999,19
morgan_587,19
morgan_1744,19
morgan_1578,19
morgan_1403,19
morgan_1224,19
morgan_165,19
morgan_978,19
morgan_354,19
morgan_383,19
morgan_218,19
maccs_164,19
morgan_1163,18
morgan_674,18
morgan_1260,18
morgan_1019,18
morgan_2038,18
maccs_53,18
morgan_496,18
morgan_389,18
morgan_623,18
maccs_25,17
morgan_1781,17
maccs_47,17
maccs_155,17
morgan_1771,17
morgan_214,17
morgan_787,17
morgan_252,17
morgan_1381,17
morgan_464,17
morgan_1157,17
morgan_1637,17
morgan_703,17
maccs_111,17
morgan_396,17
morgan_40,17
morgan_1249,17
morgan_328,17
morgan_257,16
morgan_1612,16
morgan_1609,16
morgan_1268,16
maccs_105,16
morgan_1964,16
morgan_237,16
morgan_1416,16
morgan_1939,16
morgan_847,16
morgan_231,16
morgan_837,16
morgan_950,16
morgan_652,16
morgan_1482,16
maccs_151,16
maccs_139,16
morgan_967,16
morgan_585,16
morgan_1136,16
maccs_128,16
morgan_577,16
morgan_1905,16
morgan_1484,15
maccs_143,15
morgan_69,15
morgan_344,15
maccs_160,15
morgan_260,15
morgan_1930,15
morgan_618,15
morgan_1971,15
NumAliphaticRings,15
morgan_1472,15
morgan_371,15
morgan_1812,15
morgan_800,15
morgan_352,15
morgan_1773,15
morgan_993,15
morgan_178,15
morgan_417,15
morgan_959,15
morgan_1050,15
maccs_88,15
maccs_38,14
morgan_1754,14
morgan_1671,14
morgan_1727,14
morgan_385,14
morgan_138,14
morgan_1391,14
morgan_799,14
morgan_796,14
maccs_136,14
morgan_392,14
morgan_784,14
morgan_718,14
morgan_204,14
morgan_1349,14
morgan_732,14
morgan_737,14
morgan_11,14
maccs_120,14
morgan_1152,14
morgan_600,14
morgan_1221,14
morgan_915,14
morgan_1791,14
morgan_411,14
morgan_1937,14
morgan_934,14
morgan_90,14
morgan_1774,14
morgan_650,14
morgan_1733,14
maccs_51,14
morgan_1731,14
morgan_1409,13
morgan_560,13
morgan_1626,13
morgan_322,13
morgan_1869,13
morgan_1917,13
morgan_1570,13
morgan_710,13
morgan_601,13
morgan_602,13
morgan_1573,13
morgan_535,13
morgan_1239,13
morgan_1956,13
morgan_1243,13
morgan_1026,13
morgan_409,13
morgan_974,13
maccs_113,13
morgan_841,13
morgan_949,13
morgan_834,13
morgan_1327,13
morgan_1724,13
morgan_1985,13
morgan_1718,13
morgan_780,13
morgan_122,13
morgan_980,13
maccs_118,13
morgan_51,13
maccs_116,13
morgan_984,13
morgan_106,12
maccs_102,12
maccs_81,12
morgan_93,12
morgan_2,12
maccs_84,12
morgan_379,12
morgan_539,12
maccs_100,12
morgan_1991,12
morgan_64,12
morgan_922,12
morgan_1294,12
morgan_1417,12
maccs_126,12
morgan_1632,12
morgan_881,12
morgan_1007,12
morgan_57,12
maccs_77,12
morgan_1384,12
morgan_1028,12
morgan_1823,12
morgan_1846,12
morgan_42,12
morgan_507,12
morgan_1881,12
morgan_1961,12
morgan_1607,12
morgan_1506,12
morgan_226,12
morgan_1810,12
morgan_489,12
morgan_1955,12
morgan_310,12
morgan_469,12
morgan_114,11
morgan_1447,11
morgan_1970,11
morgan_1181,11
morgan_1164,11
morgan_1611,11
morgan_1415,11
morgan_1153,11
maccs_121,11
morgan_1287,11
morgan_1206,11
morgan_1043,11
morgan_1276,11
morgan_249,11
morgan_1323,11
morgan_1326,11
morgan_935,11
morgan_1799,11
morgan_802,11
maccs_32,11
maccs_123,11
morgan_968,11
morgan_1568,11
maccs_28,11
morgan_1910,11
morgan_1097,11
morgan_2046,11
morgan_1582,11
morgan_1238,11
maccs_90,11
morgan_1485,11
morgan_157,11
morgan_1542,10
morgan_1745,10
morgan_455,10
morgan_1741,10
morgan_908,10
morgan_926,10
morgan_1990,10
morgan_1405,10
morgan_448,10
morgan_1060,10
morgan_1308,10
morgan_1852,10
morgan_823,10
morgan_1168,10
morgan_790,10
morgan_1665,10
morgan_675,10
morgan_752,10
morgan_721,10
morgan_1040,10
morgan_1865,10
morgan_1453,10
morgan_384,10
morgan_314,10
morgan_142,10
morgan_140,10
maccs_154,10
morgan_121,10
maccs_153,10
morgan_41,10
maccs_117,10
morgan_333,10
maccs_98,10
morgan_2039,10
morgan_141,10
morgan_168,10
morgan_373,10
morgan_14,10
morgan_1148,9
morgan_503,9
morgan_516,9
morgan_1369,9
morgan_1954,9
morgan_1563,9
morgan_855,9
morgan_1911,9
morgan_474,9
morgan_1066,9
morgan_1627,9
morgan_832,9
morgan_1648,9
morgan_809,9
morgan_1309,9
morgan_546,9
morgan_548,9
morgan_591,9
morgan_1385,9
morgan_43,9
morgan_1387,9
morgan_1598,9
